"question","metric","qcat","n"
"Q1","firehighdays_bi90","Q5",7
"Q1","firehighdays_bi90","Q6",2
"Q1","firehighdays_bi90","Q7",1
"Q1","firehighdays_bi95","Q4",2
"Q1","firehighdays_bi95","Q5",4
"Q1","firehighdays_bi95","Q6",4
"Q1","firehighdays_erc90","Q4",2
"Q1","firehighdays_erc90","Q5",2
"Q1","firehighdays_erc90","Q6",2
"Q1","firehighdays_erc90","Q7",4
"Q1","firehighdays_erc95","Q4",4
"Q1","firehighdays_erc95","Q5",2
"Q1","firehighdays_erc95","Q6",2
"Q1","firehighdays_erc95","Q7",2
"Q2","firesummerhighdays_bi90","Q4",4
"Q2","firesummerhighdays_bi90","Q5",2
"Q2","firesummerhighdays_bi90","Q6",4
"Q2","firesummerhighdays_erc90","Q4",6
"Q2","firesummerhighdays_erc90","Q5",2
"Q2","firesummerhighdays_erc90","Q6",2
"Q3","firep95_erc","Q7",10
"Q3","firepeak_bi","Q6",1
"Q3","firepeak_bi","Q7",9
"Q3","firepeak_erc","Q6",2
"Q3","firepeak_erc","Q7",8
"Q3","fireseverity_bi90","Q5",6
"Q3","fireseverity_bi90","Q6",4
"Q3","fireseverity_erc90","Q4",2
"Q3","fireseverity_erc90","Q5",2
"Q3","fireseverity_erc90","Q6",5
"Q3","fireseverity_erc90","Q7",1
"Q4","firestart_any_bi90","Q2",3
"Q4","firestart_any_bi90","Q3",4
"Q4","firestart_any_bi90","Q4",2
"Q4","firestart_any_bi90","Q5",1
"Q4","firestart_any_erc90","Q2",2
"Q4","firestart_any_erc90","Q3",8
"Q4","firestart_k2_erc90","Q2",3
"Q4","firestart_k2_erc90","Q3",7
"Q4","firestart_k3_bi90","Q2",2
"Q4","firestart_k3_bi90","Q3",3
"Q4","firestart_k3_bi90","Q4",3
"Q4","firestart_k3_bi90","Q5",2
"Q4","firestart_k3_erc90","Q2",4
"Q4","firestart_k3_erc90","Q3",5
"Q4","firestart_k3_erc90","Q4",1
"Q4","firestart_wyday_bi","Q2",2
"Q4","firestart_wyday_bi","Q3",3
"Q4","firestart_wyday_bi","Q4",3
"Q4","firestart_wyday_bi","Q5",2
"Q4","firestart_wyday_erc","Q2",4
"Q4","firestart_wyday_erc","Q3",5
"Q4","firestart_wyday_erc","Q4",1
"Q5","firemaxrun_bi","Q4",3
"Q5","firemaxrun_bi","Q6",4
"Q5","firemaxrun_bi","Q7",3
"Q5","firemaxrun_erc","Q4",2
"Q5","firemaxrun_erc","Q6",4
"Q5","firemaxrun_erc","Q7",4
"Q5","fireseasonlength_bi","Q5",2
"Q5","fireseasonlength_bi","Q6",6
"Q5","fireseasonlength_bi","Q7",2
"Q5","fireseasonlength_erc","Q4",1
"Q5","fireseasonlength_erc","Q5",2
"Q5","fireseasonlength_erc","Q6",7
